,SATURDAY 18th,,,,,
,SUNDAY  19th,,,,,
14:00,Benfica,,,Vitória Guimarães,Over 1.5 goals,80
16:30,Gil Vicente,,,Sporting Lisbon,Over 1.5,80
16:30,Sporting Braga,,,FC Porto,Over 1.5,80
18:00,Sparta Prague,4,1,Teplice,1 or Over 2.5,won
,SATURDAY 18th,,,,,
15:00,Aberdeen,,,Hearts,Over 7.5 Corners,60
15:00,Celtic,,,Hibernian,,60
15:00,Dundee Utd,,,St. Mirren,Over 1.5,50
15:00,Kilmarnock,,,St. Johnstone,1X2 Corner - 1,55
15:00,Livingston,,,Ross County,1X2 Corner - 1,50
15:00,Motherwell,,,Rangers,X2,50
,,,,,,
,,,,,,
11:30,Kasimpasa,,,Umraniyespor,1X,50
,,,,,,
,SUNDAY 19th,,,,,
16:00,Lyngby,1,0,Broendby,Over 1.5 goals,loss
